Index,Vandløb,Lokation,UTMx,UTMy, longitude, latitude
0,STAVIS Å,STAVIS Å; STAVIS BRO (ST 8.25),581911,6143626,10.29447233,55.4319851
2,RUSTRUP SKOVBÆK,RUSTRUP SKOVBÆK; T.T.THORSØ FRA RUSTRUP SKOV,532382,6219850,9.520863271,56.12262719
3,Afløb fra GeddebÆkken,Afløb fra GeddebÆkken; Lige os saml. m tilløb 1 til Arreskov Sø,582786,6114700,10.2997714,55.17197715
4,HVIDMOSE KANAL,HVIDMOSE KANAL; OS HVIDMOSE RENSEANLÆG,490300,6246456,8.842997556,56.3626697
5,KYLLEBÆK,KYLLEBÆK; KYLLEBÆK HUSE,679675,6114004,11.81902273,55.14004666
6,Afløb fra Jels Nedersø,Afløb fra Jels Nedersø; Afløb fra Jels Nedersø,513025,6134627,9.205448147,55.35779608
9,Kolå,Kolå; Ved Nybro,593606,6238210,10.5118645,56.27945331
10,Afløb Skanderborg sø,Afløb Skanderborg sø; Afløb Standerborg sø,555822,6208300,9.895444812,56.01670028
11,MØLLEBÆKKEN,MØLLEBÆKKEN; VINTRE MØLLER,676721,6170925,11.80875353,55.65198477
12,Vorgod Å,Vorgod Å; Vandmøllen,482325,6216402,8.715921894,56.09241886
13,Rårup Å,Rårup Å; Syd for Åstrupvej,561082,6179992,9.973420665,55.76174554
14,lindenborg å,lindenborg å; buderupbro,552372,6302386,9.858963517,56.86229367
15,Kauslunde Å,Kauslunde Å; ns GåsebÆkken,605938,6141214,10.67310368,55.4057157
17,Brødens grøft,Brødens grøft; Brødens grøft.,576033,6287517,10.24252012,56.72547443
19,ILLERUP Å,ILLERUP Å; UDLØB MOSSØ; VALTEBRO,552895,6211798,9.84918824,56.04845786
20,HADERSLEV MØLLESTRØM,HADERSLEV MØLLESTRØM; HADERSLEV,531170,6122712,9.490325289,55.24991614
21,BJERNDRUP MØLLEÅ,BJERNDRUP MØLLEÅ; NØ FOR KLIPLEV,526496,6089050,9.413666998,54.9477013
22,BJERNDRUP MØLLEÅ,BJERNDRUP MØLLEÅ; AFLØB C2,528076,6087965,9.438227804,54.9378648
23,BJERNDRUP MØLLEÅ,BJERNDRUP MØLLEÅ; T.T.LILLE SØGÅRD SØ,529533,6089065,9.461081874,54.94766554
24,Vegen Å,Vegen Å; NS. Munkbrovej,477647,6242063,8.638575029,56.32277333
25,MÅRUP Å,MÅRUP Å; KOLIND CENTRUM; TENNISVEJ,598374,6247377,10.59226487,56.36081825
26,Spang Å,Spang Å; Gårdvejen Bro,474949,6291577,8.590174695,56.76746828
29,GUNDESBØL Å,GUNDESBØL Å; LINDSKOV GÅRD,480878,6186056,8.694818212,55.81970799
30,HÅGERUP Å,HÅGERUP Å; NEDSTRØMS HÅGERUP,586326,6114913,10.35539866,55.17328568
31,HÅGERUP Å,HÅGERUP Å; 1.075,585678,6114827,10.34520158,55.17262573
32,Søbo Sø; afløb,Søbo Sø; afløb; Søbo Sø; afløb,576993,6118307,10.20982428,55.20531834
33,Gammel Å,Gammel Å; Grusvejen,457867,6242114,8.318764184,56.32188591
34,Ryds Å,Ryds Å; V. Gransangervej,583605,6142183,10.32080261,55.41873596
37,Hodsager Lilleå,Hodsager Lilleå; NS. HallundbÆkvej,494172,6239798,8.905816353,56.30291478
38,Aulby Mølleå,Aulby Mølleå; Aulby,552199,6150421,9.826267447,55.49710299
39,SYDKANALEN,SYDKANALEN; PST. BØTØ NOR S-INDVENDIG(1F),687595,6063205,11.91000422,54.68119908
40,VIGERSDAL Å,VIGERSDAL Å; VÆRKEVAD BRO,681005,6151530,11.8640462,55.47635193
41,VIGERSDAL Å,VIGERSDAL Å; STAVEDS BRO,679275,6151662,11.83679527,55.47817349
42,UGE BÆK,UGE BÆK; FRESTRUP,509507,6087826,9.148388755,54.93731491
43,KOHOLM Å,KOHOLM Å; FLYNDERSØMØLLE,497558,6263987,8.960310353,56.52026651
45,MØNSTED Å,MØNSTED Å; LUNDGÅRDSMARK,510363,6258840,9.168223884,56.47391714
47,Arnå,Arnå; Ca. 500 meter nedstrøms okkersø.,500030,6093954,9.000468893,54.99247457
48,Bundsø tilløb,Bundsø tilløb; Oksbølvej,548967,6098145,9.76602188,55.02772614
49,ROSENVOLD Å,ROSENVOLD Å; VED ROSENVOLD ENG,551662,6171267,9.821672092,55.68445356
50,NIMDRUP BÆK,NIMDRUP BÆK; VEST FOR KARLSØ,533631,6207664,9.539421321,56.0130564
51,NIMDRUP BÆK,NIMDRUP BÆK; ST 2; 300M NEDSTR. KÆMPESMØLLE,533835,6207223,9.542637652,56.00907988
52,Slotsmølle å,Slotsmølle å; Vest for bro ved Vestmarksvej i Aabenraa.,525380,6100158,9.397228853,55.04757813
53,Donsrod Å; tilløb til Dons Søndersø,Donsrod Å; tilløb til Dons Søndersø; Ved vej,527391,6154708,9.434019147,55.5376431
54,Istrup BÆk,Istrup BÆk; Istrup,462103,6304748,8.378072777,56.88491869
55,HVOLBÆK,HVOLBÆK; VED UDLØB I SKANDERBORG SØ,561028,6207901,9.978850849,56.01248142
57,EGÅ,EGÅ; JERNBANEBRO,574991,6230769,10.20918327,56.21591952
58,VARBRO Å,VARBRO Å; OS UDLØB I LIVER Å,553899,6375509,9.899834288,57.51891889
59,Tegå,Tegå; 200 M Nedstrøms Nørhå Sø,465423,6305523,8.432448556,56.89213996
60,SkovmøllebÆk,SkovmøllebÆk; ns ejendom v. Dannerhøjvej 2,574580,6344558,10.23563592,57.2380199
61,SAKSKØBING Å,SAKSKØBING Å; KRENKERUP,671959,6073664,11.67394119,54.78066895
62,RISLEBÆK,RISLEBÆK; SOLLERUP,582043,6111754,10.28725653,55.1456343
63,Vindtved Kanal,Vindtved Kanal; Nord for bro; vejen fra SÆd ti,497350,6085517,8.958659036,54.91664854
64,LILLE-HANSTED Å,LILLE-HANSTED Å; HANSTED; LILLE HANSTED BRO,552510,6194771,9.839688159,55.89552939
65,HADSTEN LILLEÅ,HADSTEN LILLEÅ; GRUNDFØR MØLLE,566884,6237331,10.08014901,56.2760744
66,HADSTEN LILLEÅ,HADSTEN LILLEÅ; Lige ns Løjstrup Dambrug,555582,6247320,9.899762307,56.36726687
67,REGSTRUP Å,REGSTRUP Å; OS KONGENS MØLLE DAMBRUG,648438,6169057,11.35869081,55.64467517
68,LANGESLUND KANAL,LANGESLUND KANAL; V. TVEKÆRGÅRD,535870,6333313,9.592731929,57.14167897
70,tilløb 3 Fruerskov BÆk,tilløb 3 Fruerskov BÆk; tilløb 3 vådomr Rønshoved,532675,6080946,9.509212277,54.8745107
71,Tilløb til Dyssemosen,Tilløb til Dyssemosen; os spang,668998,6163957,11.6818845,55.59218892
73,Kragelund MøllebÆk,Kragelund MøllebÆk; Kragelund Møllegård,575640,6158516,10.19945378,55.56676079
74,VARDE Å,VARDE Å; V. VAGTBORG,471131,6166522,8.541325947,55.64370977
