Lokalitetsnavn;ObservationsStedNr;ObservationsStedNavn;Dato;Xutm_Euref89_Zone32;Yutm_Euref89_Zone32;Parameter;Enhed;Resultat;Kontrol;Kvalitet
"GUDENÅ";"21000461";"GUDENÅ, ULSTRUP BRO";"19740714";"548999";"6250172";"Vandføring";"m3/s";"14,3999996185303";"FagK";"GODK"
"GUDENÅ";"21000461";"GUDENÅ, ULSTRUP BRO";"19740715";"548999";"6250172";"Vandføring";"m3/s";"17,8999996185303";"FagK";"GODK"
"GUDENÅ";"21000461";"GUDENÅ, ULSTRUP BRO";"19740716";"548999";"6250172";"Vandføring";"m3/s";"15,3999996185303";"FagK";"GODK"
"GUDENÅ";"21000461";"GUDENÅ, ULSTRUP BRO";"19740717";"548999";"6250172";"Vandføring";"m3/s";"17,5";"FagK";"GODK"
"GUDENÅ";"21000461";"GUDENÅ, ULSTRUP BRO";"19740718";"548999";"6250172";"Vandføring";"m3/s";"17,6000003814697";"FagK";"GODK"
"GUDENÅ";"21000461";"GUDENÅ, ULSTRUP BRO";"19740719";"548999";"6250172";"Vandføring";"m3/s";"17,2999992370605";"FagK";"GODK"
"GUDENÅ";"21000461";"GUDENÅ, ULSTRUP BRO";"19740720";"548999";"6250172";"Vandføring";"m3/s";"16,3999996185303";"FagK";"GODK"
"GUDENÅ";"21000461";"GUDENÅ, ULSTRUP BRO";"19740721";"548999";"6250172";"Vandføring";"m3/s";"13,3999996185303";"FagK";"GODK"
"GUDENÅ";"21000461";"GUDENÅ, ULSTRUP BRO";"19740722";"548999";"6250172";"Vandføring";"m3/s";"14,6000003814697";"FagK";"GODK"
"GUDENÅ";"21000461";"GUDENÅ, ULSTRUP BRO";"19740723";"548999";"6250172";"Vandføring";"m3/s";"15,6999998092651";"FagK";"GODK"
"GUDENÅ";"21000461";"GUDENÅ, ULSTRUP BRO";"19740724";"548999";"6250172";"Vandføring";"m3/s";"13,3000001907349";"FagK";"GODK"
"GUDENÅ";"21000461";"GUDENÅ, ULSTRUP BRO";"19740725";"548999";"6250172";"Vandføring";"m3/s";"14,8000001907349";"FagK";"GODK"
"GUDENÅ";"21000461";"GUDENÅ, ULSTRUP BRO";"19740726";"548999";"6250172";"Vandføring";"m3/s";"16,6000003814697";"FagK";"GODK"
