Lokalitetsnavn;ObservationsStedNr;ObservationsStedNavn;Dato;Xutm_Euref89_Zone32;Yutm_Euref89_Zone32;Parameter;Enhed;Resultat;Kontrol;Kvalitet
"Gudenå";"21006207";"Gudenå, Randers Bro";"20171207";"564072";"6257411";"Vandføring";"m3/s";"53,6807823181152";"FagK";"GODK"
"Gudenå";"21006207";"Gudenå, Randers Bro";"20171208";"564072";"6257411";"Vandføring";"m3/s";"46,3360328674316";"FagK";"GODK"
"Gudenå";"21006207";"Gudenå, Randers Bro";"20171209";"564072";"6257411";"Vandføring";"m3/s";"50,5810737609863";"FagK";"GODK"
"Gudenå";"21006207";"Gudenå, Randers Bro";"20171210";"564072";"6257411";"Vandføring";"m3/s";"50,4937286376953";"FagK";"GODK"
"Gudenå";"21006207";"Gudenå, Randers Bro";"20171211";"564072";"6257411";"Vandføring";"m3/s";"35,004150390625";"FagK";"GODK"
"Gudenå";"21006207";"Gudenå, Randers Bro";"20171212";"564072";"6257411";"Vandføring";"m3/s";"44,9014129638672";"FagK";"GODK"
"Gudenå";"21006207";"Gudenå, Randers Bro";"20171213";"564072";"6257411";"Vandføring";"m3/s";"47,8206596374512";"FagK";"GODK"
"Gudenå";"21006207";"Gudenå, Randers Bro";"20171214";"564072";"6257411";"Vandføring";"m3/s";"31,3430156707764";"FagK";"GODK"
"Gudenå";"21006207";"Gudenå, Randers Bro";"20171215";"564072";"6257411";"Vandføring";"m3/s";"56,460018157959";"FagK";"GODK"
"Gudenå";"21006207";"Gudenå, Randers Bro";"20171216";"564072";"6257411";"Vandføring";"m3/s";"45,8862495422363";"FagK";"GODK"
"Gudenå";"21006207";"Gudenå, Randers Bro";"20171217";"564072";"6257411";"Vandføring";"m3/s";"50,0093803405762";"FagK";"GODK"
"Gudenå";"21006207";"Gudenå, Randers Bro";"20171218";"564072";"6257411";"Vandføring";"m3/s";"38,237419128418";"FagK";"GODK"
"Gudenå";"21006207";"Gudenå, Randers Bro";"20171219";"564072";"6257411";"Vandføring";"m3/s";"47,3639793395996";"FagK";"GODK"
"Gudenå";"21006207";"Gudenå, Randers Bro";"20171220";"564072";"6257411";"Vandføring";"m3/s";"43,2695045471191";"FagK";"GODK"
"Gudenå";"21006207";"Gudenå, Randers Bro";"20171221";"564072";"6257411";"Vandføring";"m3/s";"43,7133712768555";"FagK";"GODK"
"Gudenå";"21006207";"Gudenå, Randers Bro";"20171222";"564072";"6257411";"Vandføring";"m3/s";"44,4690895080566";"FagK";"GODK"
