Lokalitetsnavn;ObservationsStedNr;ObservationsStedNavn;Dato;Xutm_Euref89_Zone32;Yutm_Euref89_Zone32;Parameter;Enhed;Resultat;Kontrol;Kvalitet
"Gudenå";"21006207";"Gudenå, Randers Bro";"20200101";"564072";"6257411";"Vandføring";"m3/s";"54,2891998291016";"FagK";"GODK"
"Gudenå";"21006207";"Gudenå, Randers Bro";"20200102";"564072";"6257411";"Vandføring";"m3/s";"52,8059120178223";"FagK";"GODK"
"Gudenå";"21006207";"Gudenå, Randers Bro";"20200103";"564072";"6257411";"Vandføring";"m3/s";"46,770938873291";"FagK";"GODK"
"Gudenå";"21006207";"Gudenå, Randers Bro";"20200104";"564072";"6257411";"Vandføring";"m3/s";"51,9918365478516";"FagK";"GODK"
"Gudenå";"21006207";"Gudenå, Randers Bro";"20200105";"564072";"6257411";"Vandføring";"m3/s";"50,6315116882324";"FagK";"GODK"
"Gudenå";"21006207";"Gudenå, Randers Bro";"20200106";"564072";"6257411";"Vandføring";"m3/s";"39,7191200256348";"FagK";"GODK"
"Gudenå";"21006207";"Gudenå, Randers Bro";"20200107";"564072";"6257411";"Vandføring";"m3/s";"39,6113014221191";"FagK";"GODK"
"Gudenå";"21006207";"Gudenå, Randers Bro";"20200108";"564072";"6257411";"Vandføring";"m3/s";"35,7180366516113";"FagK";"GODK"
"Gudenå";"21006207";"Gudenå, Randers Bro";"20200109";"564072";"6257411";"Vandføring";"m3/s";"49,7753295898438";"FagK";"GODK"
"Gudenå";"21006207";"Gudenå, Randers Bro";"20200110";"564072";"6257411";"Vandføring";"m3/s";"37,2635765075684";"FagK";"GODK"
"Gudenå";"21006207";"Gudenå, Randers Bro";"20200111";"564072";"6257411";"Vandføring";"m3/s";"58,0916519165039";"FagK";"GODK"
"Gudenå";"21006207";"Gudenå, Randers Bro";"20200112";"564072";"6257411";"Vandføring";"m3/s";"32,0513648986816";"FagK";"GODK"
"Gudenå";"21006207";"Gudenå, Randers Bro";"20200113";"564072";"6257411";"Vandføring";"m3/s";"58,7632331848145";"FagK";"GODK"
"Gudenå";"21006207";"Gudenå, Randers Bro";"20200114";"564072";"6257411";"Vandføring";"m3/s";"49,824047088623";"FagK";"GODK"
"Gudenå";"21006207";"Gudenå, Randers Bro";"20200115";"564072";"6257411";"Vandføring";"m3/s";"52,9791984558105";"FagK";"GODK"
"Gudenå";"21006207";"Gudenå, Randers Bro";"20200116";"564072";"6257411";"Vandføring";"m3/s";"65,4482421875";"FagK";"GODK"
"Gudenå";"21006207";"Gudenå, Randers Bro";"20200117";"564072";"6257411";"Vandføring";"m3/s";"59,9854278564453";"FagK";"GODK"
"Gudenå";"21006207";"Gudenå, Randers Bro";"20200118";"564072";"6257411";"Vandføring";"m3/s";"56,0601196289063";"FagK";"GODK"
"Gudenå";"21006207";"Gudenå, Randers Bro";"20200119";"564072";"6257411";"Vandføring";"m3/s";"58,761173248291";"FagK";"GODK"
