Lokalitetsnavn;ObservationsStedNr;ObservationsStedNavn;Dato;Xutm_Euref89_Zone32;Yutm_Euref89_Zone32;Parameter;Enhed;Resultat;Kontrol;Kvalitet
ÅMOSE Å;55000018;ÅMOSE Å, BROMØLLE;19210101;650366;6165418;Vandføring;m3/s;1,13999998569489;FagK;GODK
ÅMOSE Å;55000018;ÅMOSE Å, BROMØLLE;19210102;650366;6165418;Vandføring;m3/s;1,27499997615814;FagK;GODK
ÅMOSE Å;55000018;ÅMOSE Å, BROMØLLE;19210103;650366;6165418;Vandføring;m3/s;1,49000000953674;FagK;GODK
ÅMOSE Å;55000018;ÅMOSE Å, BROMØLLE;19210104;650366;6165418;Vandføring;m3/s;1,53999996185303;FagK;GODK
ÅMOSE Å;55000018;ÅMOSE Å, BROMØLLE;19210105;650366;6165418;Vandføring;m3/s;1,71000003814697;FagK;GODK
ÅMOSE Å;55000018;ÅMOSE Å, BROMØLLE;19210106;650366;6165418;Vandføring;m3/s;1,91999995708466;FagK;GODK
ÅMOSE Å;55000018;ÅMOSE Å, BROMØLLE;19210107;650366;6165418;Vandføring;m3/s;1,98000001907349;FagK;GODK
ÅMOSE Å;55000018;ÅMOSE Å, BROMØLLE;19210108;650366;6165418;Vandføring;m3/s;1,98000001907349;FagK;GODK
ÅMOSE Å;55000018;ÅMOSE Å, BROMØLLE;19210109;650366;6165418;Vandføring;m3/s;1,98000001907349;FagK;GODK
ÅMOSE Å;55000018;ÅMOSE Å, BROMØLLE;19210110;650366;6165418;Vandføring;m3/s;1,91999995708466;FagK;GODK
ÅMOSE Å;55000018;ÅMOSE Å, BROMØLLE;19210111;650366;6165418;Vandføring;m3/s;1,91999995708466;FagK;GODK
ÅMOSE Å;55000018;ÅMOSE Å, BROMØLLE;19210112;650366;6165418;Vandføring;m3/s;2,04999995231628;FagK;GODK
ÅMOSE Å;55000018;ÅMOSE Å, BROMØLLE;19210113;650366;6165418;Vandføring;m3/s;2,20000004768372;FagK;GODK
ÅMOSE Å;55000018;ÅMOSE Å, BROMØLLE;19210114;650366;6165418;Vandføring;m3/s;2,20000004768372;FagK;GODK
ÅMOSE Å;55000018;ÅMOSE Å, BROMØLLE;19210115;650366;6165418;Vandføring;m3/s;2,13000011444092;FagK;GODK
ÅMOSE Å;55000018;ÅMOSE Å, BROMØLLE;19210116;650366;6165418;Vandføring;m3/s;2,13000011444092;FagK;GODK
ÅMOSE Å;55000018;ÅMOSE Å, BROMØLLE;19210117;650366;6165418;Vandføring;m3/s;1,85000002384186;FagK;GODK
ÅMOSE Å;55000018;ÅMOSE Å, BROMØLLE;19210118;650366;6165418;Vandføring;m3/s;1,71000003814697;FagK;GODK
ÅMOSE Å;55000018;ÅMOSE Å, BROMØLLE;19210119;650366;6165418;Vandføring;m3/s;1,85000002384186;FagK;GODK
ÅMOSE Å;55000018;ÅMOSE Å, BROMØLLE;19210120;650366;6165418;Vandføring;m3/s;2,13000011444092;FagK;GODK
ÅMOSE Å;55000018;ÅMOSE Å, BROMØLLE;19210121;650366;6165418;Vandføring;m3/s;2,20000004768372;FagK;GODK
ÅMOSE Å;55000018;ÅMOSE Å, BROMØLLE;19210122;650366;6165418;Vandføring;m3/s;2,13000011444092;FagK;GODK
ÅMOSE Å;55000018;ÅMOSE Å, BROMØLLE;19210123;650366;6165418;Vandføring;m3/s;2,20000004768372;FagK;GODK
ÅMOSE Å;55000018;ÅMOSE Å, BROMØLLE;19210124;650366;6165418;Vandføring;m3/s;2,33999991416931;FagK;GODK
ÅMOSE Å;55000018;ÅMOSE Å, BROMØLLE;19210125;650366;6165418;Vandføring;m3/s;2,13000011444092;FagK;GODK
ÅMOSE Å;55000018;ÅMOSE Å, BROMØLLE;19210126;650366;6165418;Vandføring;m3/s;2,20000004768372;FagK;GODK
ÅMOSE Å;55000018;ÅMOSE Å, BROMØLLE;19210127;650366;6165418;Vandføring;m3/s;2,5;FagK;GODK
ÅMOSE Å;55000018;ÅMOSE Å, BROMØLLE;19210128;650366;6165418;Vandføring;m3/s;2,13000011444092;FagK;GODK
ÅMOSE Å;55000018;ÅMOSE Å, BROMØLLE;19210129;650366;6165418;Vandføring;m3/s;2,72499990463257;FagK;GODK
ÅMOSE Å;55000018;ÅMOSE Å, BROMØLLE;19210130;650366;6165418;Vandføring;m3/s;2,90000009536743;FagK;GODK
ÅMOSE Å;55000018;ÅMOSE Å, BROMØLLE;19210131;650366;6165418;Vandføring;m3/s;3,70000004768372;FagK;GODK
ÅMOSE Å;55000018;ÅMOSE Å, BROMØLLE;19210201;650366;6165418;Vandføring;m3/s;3,90000009536743;FagK;GODK
ÅMOSE Å;55000018;ÅMOSE Å, BROMØLLE;19210202;650366;6165418;Vandføring;m3/s;3,90000009536743;FagK;GODK
ÅMOSE Å;55000018;ÅMOSE Å, BROMØLLE;19210203;650366;6165418;Vandføring;m3/s;3,90000009536743;FagK;GODK
ÅMOSE Å;55000018;ÅMOSE Å, BROMØLLE;19210204;650366;6165418;Vandføring;m3/s;3,90000009536743;FagK;GODK
ÅMOSE Å;55000018;ÅMOSE Å, BROMØLLE;19210205;650366;6165418;Vandføring;m3/s;3,79999995231628;FagK;GODK
ÅMOSE Å;55000018;ÅMOSE Å, BROMØLLE;19210206;650366;6165418;Vandføring;m3/s;3,70000004768372;FagK;GODK
ÅMOSE Å;55000018;ÅMOSE Å, BROMØLLE;19210207;650366;6165418;Vandføring;m3/s;3,51999998092651;FagK;GODK
ÅMOSE Å;55000018;ÅMOSE Å, BROMØLLE;19210208;650366;6165418;Vandføring;m3/s;3,16499996185303;FagK;GODK
ÅMOSE Å;55000018;ÅMOSE Å, BROMØLLE;19210209;650366;6165418;Vandføring;m3/s;3,42499995231628;FagK;GODK
ÅMOSE Å;55000018;ÅMOSE Å, BROMØLLE;19210210;650366;6165418;Vandføring;m3/s;3,42499995231628;FagK;GODK
ÅMOSE Å;55000018;ÅMOSE Å, BROMØLLE;19210211;650366;6165418;Vandføring;m3/s;3,16499996185303;FagK;GODK
ÅMOSE Å;55000018;ÅMOSE Å, BROMØLLE;19210212;650366;6165418;Vandføring;m3/s;2,72499990463257;FagK;GODK
ÅMOSE Å;55000018;ÅMOSE Å, BROMØLLE;19210213;650366;6165418;Vandføring;m3/s;2,13000011444092;FagK;GODK
ÅMOSE Å;55000018;ÅMOSE Å, BROMØLLE;19210214;650366;6165418;Vandføring;m3/s;1,91999995708466;FagK;GODK
ÅMOSE Å;55000018;ÅMOSE Å, BROMØLLE;19210215;650366;6165418;Vandføring;m3/s;1,98000001907349;FagK;GODK
ÅMOSE Å;55000018;ÅMOSE Å, BROMØLLE;19210216;650366;6165418;Vandføring;m3/s;2,04999995231628;FagK;GODK
ÅMOSE Å;55000018;ÅMOSE Å, BROMØLLE;19210217;650366;6165418;Vandføring;m3/s;2,13000011444092;FagK;GODK
ÅMOSE Å;55000018;ÅMOSE Å, BROMØLLE;19210218;650366;6165418;Vandføring;m3/s;2,20000004768372;FagK;GODK
ÅMOSE Å;55000018;ÅMOSE Å, BROMØLLE;19210219;650366;6165418;Vandføring;m3/s;2,20000004768372;FagK;GODK
ÅMOSE Å;55000018;ÅMOSE Å, BROMØLLE;19210220;650366;6165418;Vandføring;m3/s;2,20000004768372;FagK;GODK
ÅMOSE Å;55000018;ÅMOSE Å, BROMØLLE;19210221;650366;6165418;Vandføring;m3/s;2,13000011444092;FagK;GODK
ÅMOSE Å;55000018;ÅMOSE Å, BROMØLLE;19210222;650366;6165418;Vandføring;m3/s;2,13000011444092;FagK;GODK
ÅMOSE Å;55000018;ÅMOSE Å, BROMØLLE;19210223;650366;6165418;Vandføring;m3/s;2,13000011444092;FagK;GODK
ÅMOSE Å;55000018;ÅMOSE Å, BROMØLLE;19210224;650366;6165418;Vandføring;m3/s;2,13000011444092;FagK;GODK
ÅMOSE Å;55000018;ÅMOSE Å, BROMØLLE;19210225;650366;6165418;Vandføring;m3/s;1,91999995708466;FagK;GODK
ÅMOSE Å;55000018;ÅMOSE Å, BROMØLLE;19210226;650366;6165418;Vandføring;m3/s;1,85000002384186;FagK;GODK
ÅMOSE Å;55000018;ÅMOSE Å, BROMØLLE;19210227;650366;6165418;Vandføring;m3/s;1,71000003814697;FagK;GODK
ÅMOSE Å;55000018;ÅMOSE Å, BROMØLLE;19210228;650366;6165418;Vandføring;m3/s;1,53999996185303;FagK;GODK
ÅMOSE Å;55000018;ÅMOSE Å, BROMØLLE;19210301;650366;6165418;Vandføring;m3/s;1,49000000953674;FagK;GODK
ÅMOSE Å;55000018;ÅMOSE Å, BROMØLLE;19210302;650366;6165418;Vandføring;m3/s;1,49000000953674;FagK;GODK
ÅMOSE Å;55000018;ÅMOSE Å, BROMØLLE;19210303;650366;6165418;Vandføring;m3/s;1,37999999523163;FagK;GODK
