Lokalitetsnavn;ObservationsStedNr;ObservationsStedNavn;Dato;Dataleverandør;Dataansvarlig;Beregner;Xutm_Euref89_Zone32;Yutm_Euref89_Zone32;Parameter;Enhed;Resultat;Beregningsmetode;Kontrol;Kvalitet
"ÅMOSE Å";"55000018";"ÅMOSE Å, BROMØLLE";"20080524";"Miljøcenter Roskilde";"Naturstyrelsen";"MHB";"650366";"6165418";"Vandføring";"m3/s";"0,695007503032684";"Beregnet ud fra referencestation";"FagK";"GODK"
"ÅMOSE Å";"55000018";"ÅMOSE Å, BROMØLLE";"20080525";"Miljøcenter Roskilde";"Naturstyrelsen";"MHB";"650366";"6165418";"Vandføring";"m3/s";"0,668091833591461";"Beregnet ud fra referencestation";"FagK";"GODK"
"ÅMOSE Å";"55000018";"ÅMOSE Å, BROMØLLE";"20080526";"Miljøcenter Roskilde";"Naturstyrelsen";"MHB";"650366";"6165418";"Vandføring";"m3/s";"0,738118767738342";"Beregnet ud fra referencestation";"FagK";"GODK"
"ÅMOSE Å";"55000018";"ÅMOSE Å, BROMØLLE";"20080527";"Miljøcenter Roskilde";"Naturstyrelsen";"MHB";"650366";"6165418";"Vandføring";"m3/s";"1,04407560825348";"Beregnet ud fra referencestation";"FagK";"GODK"
"ÅMOSE Å";"55000018";"ÅMOSE Å, BROMØLLE";"20080528";"Miljøcenter Roskilde";"Naturstyrelsen";"MHB";"650366";"6165418";"Vandføring";"m3/s";"0,986374497413635";"Beregnet ud fra referencestation";"FagK";"GODK"
"ÅMOSE Å";"55000018";"ÅMOSE Å, BROMØLLE";"20080529";"Miljøcenter Roskilde";"Naturstyrelsen";"MHB";"650366";"6165418";"Vandføring";"m3/s";"0,813535869121552";"Beregnet ud fra referencestation";"FagK";"GODK"
"ÅMOSE Å";"55000018";"ÅMOSE Å, BROMØLLE";"20080530";"Miljøcenter Roskilde";"Naturstyrelsen";"MHB";"650366";"6165418";"Vandføring";"m3/s";"0,724481523036957";"Beregnet ud fra referencestation";"FagK";"GODK"
"ÅMOSE Å";"55000018";"ÅMOSE Å, BROMØLLE";"20080531";"Miljøcenter Roskilde";"Naturstyrelsen";"MHB";"650366";"6165418";"Vandføring";"m3/s";"0,669642090797424";"Beregnet ud fra referencestation";"FagK";"GODK"
"ÅMOSE Å";"55000018";"ÅMOSE Å, BROMØLLE";"20080601";"Miljøcenter Roskilde";"Naturstyrelsen";"MHB";"650366";"6165418";"Vandføring";"m3/s";"0,624927461147308";"Beregnet ud fra referencestation";"FagK";"GODK"
"ÅMOSE Å";"55000018";"ÅMOSE Å, BROMØLLE";"20080602";"Miljøcenter Roskilde";"Naturstyrelsen";"MHB";"650366";"6165418";"Vandføring";"m3/s";"0,581823170185089";"Beregnet ud fra referencestation";"FagK";"GODK"
"ÅMOSE Å";"55000018";"ÅMOSE Å, BROMØLLE";"20080603";"Miljøcenter Roskilde";"Naturstyrelsen";"MHB";"650366";"6165418";"Vandføring";"m3/s";"0,567192196846008";"Beregnet ud fra referencestation";"FagK";"GODK"
"ÅMOSE Å";"55000018";"ÅMOSE Å, BROMØLLE";"20080604";"Miljøcenter Roskilde";"Naturstyrelsen";"MHB";"650366";"6165418";"Vandføring";"m3/s";"0,547944903373718";"Beregnet ud fra referencestation";"FagK";"GODK"
"ÅMOSE Å";"55000018";"ÅMOSE Å, BROMØLLE";"20080605";"Miljøcenter Roskilde";"Naturstyrelsen";"MHB";"650366";"6165418";"Vandføring";"m3/s";"0,527942836284637";"Beregnet ud fra referencestation";"FagK";"GODK"
"ÅMOSE Å";"55000018";"ÅMOSE Å, BROMØLLE";"20080606";"Miljøcenter Roskilde";"Naturstyrelsen";"MHB";"650366";"6165418";"Vandføring";"m3/s";"0,514258861541748";"Beregnet ud fra referencestation";"FagK";"GODK"
"ÅMOSE Å";"55000018";"ÅMOSE Å, BROMØLLE";"20080607";"Miljøcenter Roskilde";"Naturstyrelsen";"MHB";"650366";"6165418";"Vandføring";"m3/s";"0,501975774765015";"Beregnet ud fra referencestation";"FagK";"GODK"
"ÅMOSE Å";"55000018";"ÅMOSE Å, BROMØLLE";"20080608";"Miljøcenter Roskilde";"Naturstyrelsen";"MHB";"650366";"6165418";"Vandføring";"m3/s";"0,488343209028244";"Beregnet ud fra referencestation";"FagK";"GODK"
"ÅMOSE Å";"55000018";"ÅMOSE Å, BROMØLLE";"20080609";"Miljøcenter Roskilde";"Naturstyrelsen";"MHB";"650366";"6165418";"Vandføring";"m3/s";"0,471606135368347";"Beregnet ud fra referencestation";"FagK";"GODK"
"ÅMOSE Å";"55000018";"ÅMOSE Å, BROMØLLE";"20080610";"Miljøcenter Roskilde";"Naturstyrelsen";"MHB";"650366";"6165418";"Vandføring";"m3/s";"0,511764764785767";"Beregnet ud fra referencestation";"FagK";"GODK"
"ÅMOSE Å";"55000018";"ÅMOSE Å, BROMØLLE";"20080611";"Miljøcenter Roskilde";"Naturstyrelsen";"MHB";"650366";"6165418";"Vandføring";"m3/s";"0,531790971755981";"Beregnet ud fra referencestation";"FagK";"GODK"
"ÅMOSE Å";"55000018";"ÅMOSE Å, BROMØLLE";"20080612";"Miljøcenter Roskilde";"Naturstyrelsen";"MHB";"650366";"6165418";"Vandføring";"m3/s";"0,515659272670746";"Beregnet ud fra referencestation";"FagK";"GODK"
"ÅMOSE Å";"55000018";"ÅMOSE Å, BROMØLLE";"20080613";"Miljøcenter Roskilde";"Naturstyrelsen";"MHB";"650366";"6165418";"Vandføring";"m3/s";"0,505916714668274";"Beregnet ud fra referencestation";"FagK";"GODK"
"ÅMOSE Å";"55000018";"ÅMOSE Å, BROMØLLE";"20080614";"Miljøcenter Roskilde";"Naturstyrelsen";"MHB";"650366";"6165418";"Vandføring";"m3/s";"0,483914881944656";"Beregnet ud fra referencestation";"FagK";"GODK"
"ÅMOSE Å";"55000018";"ÅMOSE Å, BROMØLLE";"20080615";"Miljøcenter Roskilde";"Naturstyrelsen";"MHB";"650366";"6165418";"Vandføring";"m3/s";"0,471758425235748";"Beregnet ud fra referencestation";"FagK";"GODK"
"ÅMOSE Å";"55000018";"ÅMOSE Å, BROMØLLE";"20080616";"Miljøcenter Roskilde";"Naturstyrelsen";"MHB";"650366";"6165418";"Vandføring";"m3/s";"0,510320127010345";"Beregnet ud fra referencestation";"FagK";"GODK"
"ÅMOSE Å";"55000018";"ÅMOSE Å, BROMØLLE";"20080617";"Miljøcenter Roskilde";"Naturstyrelsen";"MHB";"650366";"6165418";"Vandføring";"m3/s";"0,468589335680008";"Beregnet ud fra referencestation";"FagK";"GODK"
"ÅMOSE Å";"55000018";"ÅMOSE Å, BROMØLLE";"20080618";"Miljøcenter Roskilde";"Naturstyrelsen";"MHB";"650366";"6165418";"Vandføring";"m3/s";"0,443138808012009";"Beregnet ud fra referencestation";"FagK";"GODK"
"ÅMOSE Å";"55000018";"ÅMOSE Å, BROMØLLE";"20080619";"Miljøcenter Roskilde";"Naturstyrelsen";"MHB";"650366";"6165418";"Vandføring";"m3/s";"0,42506068944931";"Beregnet ud fra referencestation";"FagK";"GODK"
"ÅMOSE Å";"55000018";"ÅMOSE Å, BROMØLLE";"20080620";"Miljøcenter Roskilde";"Naturstyrelsen";"MHB";"650366";"6165418";"Vandføring";"m3/s";"0,40670907497406";"Beregnet ud fra referencestation";"FagK";"GODK"
"ÅMOSE Å";"55000018";"ÅMOSE Å, BROMØLLE";"20080621";"Miljøcenter Roskilde";"Naturstyrelsen";"MHB";"650366";"6165418";"Vandføring";"m3/s";"0,396072417497635";"Beregnet ud fra referencestation";"FagK";"GODK"
"ÅMOSE Å";"55000018";"ÅMOSE Å, BROMØLLE";"20080622";"Miljøcenter Roskilde";"Naturstyrelsen";"MHB";"650366";"6165418";"Vandføring";"m3/s";"0,403830885887146";"Beregnet ud fra referencestation";"FagK";"GODK"
"ÅMOSE Å";"55000018";"ÅMOSE Å, BROMØLLE";"20080623";"Miljøcenter Roskilde";"Naturstyrelsen";"MHB";"650366";"6165418";"Vandføring";"m3/s";"0,384080618619919";"Beregnet ud fra referencestation";"FagK";"GODK"
