Lokalitetsnavn;ObservationsStedNr;ObservationsStedNavn;Dato;Xutm_Euref89_Zone32;Yutm_Euref89_Zone32;Parameter;Enhed;Resultat;Kontrol;Kvalitet
"NØRRE Å";"21000794";"NØRRE Å, VEJRUMBRO";"19180714";"533973";"6254732";"Vandføring";"m3/s";"2,34999990463257";"FagK";"GODK"
"NØRRE Å";"21000794";"NØRRE Å, VEJRUMBRO";"19180715";"533973";"6254732";"Vandføring";"m3/s";"2,20000004768372";"FagK";"GODK"
"NØRRE Å";"21000794";"NØRRE Å, VEJRUMBRO";"19180716";"533973";"6254732";"Vandføring";"m3/s";"2,27500009536743";"FagK";"GODK"
"NØRRE Å";"21000794";"NØRRE Å, VEJRUMBRO";"19180717";"533973";"6254732";"Vandføring";"m3/s";"2,32500004768372";"FagK";"GODK"
"NØRRE Å";"21000794";"NØRRE Å, VEJRUMBRO";"19180718";"533973";"6254732";"Vandføring";"m3/s";"2,29999995231628";"FagK";"GODK"
"NØRRE Å";"21000794";"NØRRE Å, VEJRUMBRO";"19180719";"533973";"6254732";"Vandføring";"m3/s";"2,34999990463257";"FagK";"GODK"
"NØRRE Å";"21000794";"NØRRE Å, VEJRUMBRO";"19180720";"533973";"6254732";"Vandføring";"m3/s";"2,375";"FagK";"GODK"
"NØRRE Å";"21000794";"NØRRE Å, VEJRUMBRO";"19180721";"533973";"6254732";"Vandføring";"m3/s";"2,40000009536743";"FagK";"GODK"
"NØRRE Å";"21000794";"NØRRE Å, VEJRUMBRO";"19180722";"533973";"6254732";"Vandføring";"m3/s";"2,29999995231628";"FagK";"GODK"
"NØRRE Å";"21000794";"NØRRE Å, VEJRUMBRO";"19180723";"533973";"6254732";"Vandføring";"m3/s";"2,29999995231628";"FagK";"GODK"
"NØRRE Å";"21000794";"NØRRE Å, VEJRUMBRO";"19180724";"533973";"6254732";"Vandføring";"m3/s";"2,20000004768372";"FagK";"GODK"
"NØRRE Å";"21000794";"NØRRE Å, VEJRUMBRO";"19180725";"533973";"6254732";"Vandføring";"m3/s";"2,25";"FagK";"GODK"
"NØRRE Å";"21000794";"NØRRE Å, VEJRUMBRO";"19180726";"533973";"6254732";"Vandføring";"m3/s";"2,29999995231628";"FagK";"GODK"
"NØRRE Å";"21000794";"NØRRE Å, VEJRUMBRO";"19180727";"533973";"6254732";"Vandføring";"m3/s";"2,27500009536743";"FagK";"GODK"
"NØRRE Å";"21000794";"NØRRE Å, VEJRUMBRO";"19180728";"533973";"6254732";"Vandføring";"m3/s";"2,32500004768372";"FagK";"GODK"
"NØRRE Å";"21000794";"NØRRE Å, VEJRUMBRO";"19180729";"533973";"6254732";"Vandføring";"m3/s";"2,17499995231628";"FagK";"GODK"
"NØRRE Å";"21000794";"NØRRE Å, VEJRUMBRO";"19180730";"533973";"6254732";"Vandføring";"m3/s";"2,18499994277954";"FagK";"GODK"
"NØRRE Å";"21000794";"NØRRE Å, VEJRUMBRO";"19180731";"533973";"6254732";"Vandføring";"m3/s";"2,18499994277954";"FagK";"GODK"
"NØRRE Å";"21000794";"NØRRE Å, VEJRUMBRO";"19180801";"533973";"6254732";"Vandføring";"m3/s";"2,14000010490417";"FagK";"GODK"
"NØRRE Å";"21000794";"NØRRE Å, VEJRUMBRO";"19180802";"533973";"6254732";"Vandføring";"m3/s";"2,14000010490417";"FagK";"GODK"
"NØRRE Å";"21000794";"NØRRE Å, VEJRUMBRO";"19180803";"533973";"6254732";"Vandføring";"m3/s";"2,14000010490417";"FagK";"GODK"
"NØRRE Å";"21000794";"NØRRE Å, VEJRUMBRO";"19180804";"533973";"6254732";"Vandføring";"m3/s";"2,14000010490417";"FagK";"GODK"
"NØRRE Å";"21000794";"NØRRE Å, VEJRUMBRO";"19180805";"533973";"6254732";"Vandføring";"m3/s";"2,0699999332428";"FagK";"GODK"
"NØRRE Å";"21000794";"NØRRE Å, VEJRUMBRO";"19180806";"533973";"6254732";"Vandføring";"m3/s";"2,0699999332428";"FagK";"GODK"
"NØRRE Å";"21000794";"NØRRE Å, VEJRUMBRO";"19180807";"533973";"6254732";"Vandføring";"m3/s";"2,14000010490417";"FagK";"GODK"
"NØRRE Å";"21000794";"NØRRE Å, VEJRUMBRO";"19180808";"533973";"6254732";"Vandføring";"m3/s";"2,14000010490417";"FagK";"GODK"
"NØRRE Å";"21000794";"NØRRE Å, VEJRUMBRO";"19180809";"533973";"6254732";"Vandføring";"m3/s";"2,21000003814697";"FagK";"GODK"
"NØRRE Å";"21000794";"NØRRE Å, VEJRUMBRO";"19180810";"533973";"6254732";"Vandføring";"m3/s";"2,25";"FagK";"GODK"
"NØRRE Å";"21000794";"NØRRE Å, VEJRUMBRO";"19180811";"533973";"6254732";"Vandføring";"m3/s";"2,29999995231628";"FagK";"GODK"
"NØRRE Å";"21000794";"NØRRE Å, VEJRUMBRO";"19180812";"533973";"6254732";"Vandføring";"m3/s";"2,29999995231628";"FagK";"GODK"
"NØRRE Å";"21000794";"NØRRE Å, VEJRUMBRO";"19180813";"533973";"6254732";"Vandføring";"m3/s";"2,25";"FagK";"GODK"
"NØRRE Å";"21000794";"NØRRE Å, VEJRUMBRO";"19180814";"533973";"6254732";"Vandføring";"m3/s";"2,28999996185303";"FagK";"GODK"
"NØRRE Å";"21000794";"NØRRE Å, VEJRUMBRO";"19180815";"533973";"6254732";"Vandføring";"m3/s";"2,29999995231628";"FagK";"GODK"
"NØRRE Å";"21000794";"NØRRE Å, VEJRUMBRO";"19180713";"533973";"6254732";"Vandføring";"m3/s";"2,32500004768372";"FagK";"GODK"
"NØRRE Å";"21000794";"NØRRE Å, VEJRUMBRO";"19180712";"533973";"6254732";"Vandføring";"m3/s";"2,29999995231628";"FagK";"GODK"
"NØRRE Å";"21000794";"NØRRE Å, VEJRUMBRO";"19180711";"533973";"6254732";"Vandføring";"m3/s";"2,25";"FagK";"GODK"
"NØRRE Å";"21000794";"NØRRE Å, VEJRUMBRO";"19180710";"533973";"6254732";"Vandføring";"m3/s";"2,20000004768372";"FagK";"GODK"
"NØRRE Å";"21000794";"NØRRE Å, VEJRUMBRO";"19180709";"533973";"6254732";"Vandføring";"m3/s";"2,40000009536743";"FagK";"GODK"
"NØRRE Å";"21000794";"NØRRE Å, VEJRUMBRO";"19180708";"533973";"6254732";"Vandføring";"m3/s";"2,34999990463257";"FagK";"GODK"
"NØRRE Å";"21000794";"NØRRE Å, VEJRUMBRO";"19180707";"533973";"6254732";"Vandføring";"m3/s";"2,5";"FagK";"GODK"
"NØRRE Å";"21000794";"NØRRE Å, VEJRUMBRO";"19180706";"533973";"6254732";"Vandføring";"m3/s";"2,29999995231628";"FagK";"GODK"
"NØRRE Å";"21000794";"NØRRE Å, VEJRUMBRO";"19180705";"533973";"6254732";"Vandføring";"m3/s";"2";"FagK";"GODK"
"NØRRE Å";"21000794";"NØRRE Å, VEJRUMBRO";"19180704";"533973";"6254732";"Vandføring";"m3/s";"2,25";"FagK";"GODK"
"NØRRE Å";"21000794";"NØRRE Å, VEJRUMBRO";"19180703";"533973";"6254732";"Vandføring";"m3/s";"2,5";"FagK";"GODK"
"NØRRE Å";"21000794";"NØRRE Å, VEJRUMBRO";"19180702";"533973";"6254732";"Vandføring";"m3/s";"2,59999990463257";"FagK";"GODK"
"NØRRE Å";"21000794";"NØRRE Å, VEJRUMBRO";"19180701";"533973";"6254732";"Vandføring";"m3/s";"2,54999995231628";"FagK";"GODK"
"NØRRE Å";"21000794";"NØRRE Å, VEJRUMBRO";"19180630";"533973";"6254732";"Vandføring";"m3/s";"2,79999995231628";"FagK";"GODK"
"NØRRE Å";"21000794";"NØRRE Å, VEJRUMBRO";"19180629";"533973";"6254732";"Vandføring";"m3/s";"2,65000009536743";"FagK";"GODK"
"NØRRE Å";"21000794";"NØRRE Å, VEJRUMBRO";"19180628";"533973";"6254732";"Vandføring";"m3/s";"2,57500004768372";"FagK";"GODK"
"NØRRE Å";"21000794";"NØRRE Å, VEJRUMBRO";"19180627";"533973";"6254732";"Vandføring";"m3/s";"2,59999990463257";"FagK";"GODK"
"NØRRE Å";"21000794";"NØRRE Å, VEJRUMBRO";"19180626";"533973";"6254732";"Vandføring";"m3/s";"2,34999990463257";"FagK";"GODK"
"NØRRE Å";"21000794";"NØRRE Å, VEJRUMBRO";"19180625";"533973";"6254732";"Vandføring";"m3/s";"2,45000004768372";"FagK";"GODK"
"NØRRE Å";"21000794";"NØRRE Å, VEJRUMBRO";"19180624";"533973";"6254732";"Vandføring";"m3/s";"2,54999995231628";"FagK";"GODK"
"NØRRE Å";"21000794";"NØRRE Å, VEJRUMBRO";"19180623";"533973";"6254732";"Vandføring";"m3/s";"2,79999995231628";"FagK";"GODK"
"NØRRE Å";"21000794";"NØRRE Å, VEJRUMBRO";"19180622";"533973";"6254732";"Vandføring";"m3/s";"2,59999990463257";"FagK";"GODK"
"NØRRE Å";"21000794";"NØRRE Å, VEJRUMBRO";"19180621";"533973";"6254732";"Vandføring";"m3/s";"2,45000004768372";"FagK";"GODK"
"NØRRE Å";"21000794";"NØRRE Å, VEJRUMBRO";"19180620";"533973";"6254732";"Vandføring";"m3/s";"2,45000004768372";"FagK";"GODK"
"NØRRE Å";"21000794";"NØRRE Å, VEJRUMBRO";"19180619";"533973";"6254732";"Vandføring";"m3/s";"2,52500009536743";"FagK";"GODK"
"NØRRE Å";"21000794";"NØRRE Å, VEJRUMBRO";"19180618";"533973";"6254732";"Vandføring";"m3/s";"2,52500009536743";"FagK";"GODK"
"NØRRE Å";"21000794";"NØRRE Å, VEJRUMBRO";"19180617";"533973";"6254732";"Vandføring";"m3/s";"2,65000009536743";"FagK";"GODK"
"NØRRE Å";"21000794";"NØRRE Å, VEJRUMBRO";"19180616";"533973";"6254732";"Vandføring";"m3/s";"2,82500004768372";"FagK";"GODK"
"NØRRE Å";"21000794";"NØRRE Å, VEJRUMBRO";"19180615";"533973";"6254732";"Vandføring";"m3/s";"2,77500009536743";"FagK";"GODK"
"NØRRE Å";"21000794";"NØRRE Å, VEJRUMBRO";"19180614";"533973";"6254732";"Vandføring";"m3/s";"2,65000009536743";"FagK";"GODK"
"NØRRE Å";"21000794";"NØRRE Å, VEJRUMBRO";"19180613";"533973";"6254732";"Vandføring";"m3/s";"2,77500009536743";"FagK";"GODK"
"NØRRE Å";"21000794";"NØRRE Å, VEJRUMBRO";"19180612";"533973";"6254732";"Vandføring";"m3/s";"2,75";"FagK";"GODK"
"NØRRE Å";"21000794";"NØRRE Å, VEJRUMBRO";"19180611";"533973";"6254732";"Vandføring";"m3/s";"2,65000009536743";"FagK";"GODK"
"NØRRE Å";"21000794";"NØRRE Å, VEJRUMBRO";"19180610";"533973";"6254732";"Vandføring";"m3/s";"2,47499990463257";"FagK";"GODK"
"NØRRE Å";"21000794";"NØRRE Å, VEJRUMBRO";"19180609";"533973";"6254732";"Vandføring";"m3/s";"2,5";"FagK";"GODK"
"NØRRE Å";"21000794";"NØRRE Å, VEJRUMBRO";"19180608";"533973";"6254732";"Vandføring";"m3/s";"2,47499990463257";"FagK";"GODK"
"NØRRE Å";"21000794";"NØRRE Å, VEJRUMBRO";"19180607";"533973";"6254732";"Vandføring";"m3/s";"2,375";"FagK";"GODK"
"NØRRE Å";"21000794";"NØRRE Å, VEJRUMBRO";"19180606";"533973";"6254732";"Vandføring";"m3/s";"2,29999995231628";"FagK";"GODK"
"NØRRE Å";"21000794";"NØRRE Å, VEJRUMBRO";"19180605";"533973";"6254732";"Vandføring";"m3/s";"2,32500004768372";"FagK";"GODK"
"NØRRE Å";"21000794";"NØRRE Å, VEJRUMBRO";"19180604";"533973";"6254732";"Vandføring";"m3/s";"2,5";"FagK";"GODK"
"NØRRE Å";"21000794";"NØRRE Å, VEJRUMBRO";"19180603";"533973";"6254732";"Vandføring";"m3/s";"2,54999995231628";"FagK";"GODK"
"NØRRE Å";"21000794";"NØRRE Å, VEJRUMBRO";"19180602";"533973";"6254732";"Vandføring";"m3/s";"2,70000004768372";"FagK";"GODK"
