Lokalitetsnavn;ObservationsStedNr;ObservationsStedNavn;Dato;Xutm_Euref89_Zone32;Yutm_Euref89_Zone32;Parameter;Enhed;Resultat;Kontrol;Kvalitet
"SUSÅ";"57000050";"SUSÅ, NÆSBY BRO";"19430101";"667753";"6141009";"Vandføring";"m3/s";"6,3000002";"FagK";"GODK"
"SUSÅ";"57000050";"SUSÅ, NÆSBY BRO";"19430102";"667753";"6141009";"Vandføring";"m3/s";"6,3000002";"FagK";"GODK"
"SUSÅ";"57000050";"SUSÅ, NÆSBY BRO";"19430103";"667753";"6141009";"Vandføring";"m3/s";"6,0500002";"FagK";"GODK"
"SUSÅ";"57000050";"SUSÅ, NÆSBY BRO";"19430104";"667753";"6141009";"Vandføring";"m3/s";"5,1999998";"FagK";"GODK"
"SUSÅ";"57000050";"SUSÅ, NÆSBY BRO";"19430105";"667753";"6141009";"Vandføring";"m3/s";"5,1999998";"FagK";"GODK"
"SUSÅ";"57000050";"SUSÅ, NÆSBY BRO";"19430106";"667753";"6141009";"Vandføring";"m3/s";"5";"FagK";"GODK"
"SUSÅ";"57000050";"SUSÅ, NÆSBY BRO";"19430107";"667753";"6141009";"Vandføring";"m3/s";"4,9499998";"FagK";"GODK"
"SUSÅ";"57000050";"SUSÅ, NÆSBY BRO";"19430108";"667753";"6141009";"Vandføring";"m3/s";"4,9000001";"FagK";"GODK"
"SUSÅ";"57000050";"SUSÅ, NÆSBY BRO";"19430109";"667753";"6141009";"Vandføring";"m3/s";"4,8000002";"FagK";"GODK"
"SUSÅ";"57000050";"SUSÅ, NÆSBY BRO";"19430110";"667753";"6141009";"Vandføring";"m3/s";"4,6999998";"FagK";"GODK"
"SUSÅ";"57000050";"SUSÅ, NÆSBY BRO";"19430111";"667753";"6141009";"Vandføring";"m3/s";"4,5999999";"FagK";"GODK"
"SUSÅ";"57000050";"SUSÅ, NÆSBY BRO";"19430112";"667753";"6141009";"Vandføring";"m3/s";"4,3000002";"FagK";"GODK"
"SUSÅ";"57000050";"SUSÅ, NÆSBY BRO";"19430113";"667753";"6141009";"Vandføring";"m3/s";"4,0999999";"FagK";"GODK"
"SUSÅ";"57000050";"SUSÅ, NÆSBY BRO";"19430114";"667753";"6141009";"Vandføring";"m3/s";"3,95";"FagK";"GODK"
"SUSÅ";"57000050";"SUSÅ, NÆSBY BRO";"19430115";"667753";"6141009";"Vandføring";"m3/s";"3,9000001";"FagK";"GODK"
"SUSÅ";"57000050";"SUSÅ, NÆSBY BRO";"19430116";"667753";"6141009";"Vandføring";"m3/s";"4,9000001";"FagK";"GODK"
"SUSÅ";"57000050";"SUSÅ, NÆSBY BRO";"19430117";"667753";"6141009";"Vandføring";"m3/s";"5,5999999";"FagK";"GODK"
"SUSÅ";"57000050";"SUSÅ, NÆSBY BRO";"19430118";"667753";"6141009";"Vandføring";"m3/s";"5,8000002";"FagK";"GODK"
"SUSÅ";"57000050";"SUSÅ, NÆSBY BRO";"19430119";"667753";"6141009";"Vandføring";"m3/s";"6,1999998";"FagK";"GODK"
"SUSÅ";"57000050";"SUSÅ, NÆSBY BRO";"19430120";"667753";"6141009";"Vandføring";"m3/s";"6,3000002";"FagK";"GODK"
"SUSÅ";"57000050";"SUSÅ, NÆSBY BRO";"19430121";"667753";"6141009";"Vandføring";"m3/s";"6,6999998";"FagK";"GODK"
"SUSÅ";"57000050";"SUSÅ, NÆSBY BRO";"19430122";"667753";"6141009";"Vandføring";"m3/s";"11";"FagK";"GODK"
"SUSÅ";"57000050";"SUSÅ, NÆSBY BRO";"19430123";"667753";"6141009";"Vandføring";"m3/s";"14";"FagK";"GODK"
"SUSÅ";"57000050";"SUSÅ, NÆSBY BRO";"19430124";"667753";"6141009";"Vandføring";"m3/s";"20";"FagK";"GODK"
"SUSÅ";"57000050";"SUSÅ, NÆSBY BRO";"19430125";"667753";"6141009";"Vandføring";"m3/s";"19";"FagK";"GODK"
"SUSÅ";"57000050";"SUSÅ, NÆSBY BRO";"19430126";"667753";"6141009";"Vandføring";"m3/s";"18,5";"FagK";"GODK"
"SUSÅ";"57000050";"SUSÅ, NÆSBY BRO";"19430127";"667753";"6141009";"Vandføring";"m3/s";"18,5";"FagK";"GODK"
"SUSÅ";"57000050";"SUSÅ, NÆSBY BRO";"19430128";"667753";"6141009";"Vandføring";"m3/s";"16";"FagK";"GODK"
"SUSÅ";"57000050";"SUSÅ, NÆSBY BRO";"19430129";"667753";"6141009";"Vandføring";"m3/s";"17";"FagK";"GODK"
"SUSÅ";"57000050";"SUSÅ, NÆSBY BRO";"19430130";"667753";"6141009";"Vandføring";"m3/s";"22";"FagK";"GODK"
"SUSÅ";"57000050";"SUSÅ, NÆSBY BRO";"19430131";"667753";"6141009";"Vandføring";"m3/s";"20,6";"FagK";"GODK"
"SUSÅ";"57000050";"SUSÅ, NÆSBY BRO";"19430201";"667753";"6141009";"Vandføring";"m3/s";"20,200001";"FagK";"GODK"
"SUSÅ";"57000050";"SUSÅ, NÆSBY BRO";"19430202";"667753";"6141009";"Vandføring";"m3/s";"20,299999";"FagK";"GODK"
"SUSÅ";"57000050";"SUSÅ, NÆSBY BRO";"19430203";"667753";"6141009";"Vandføring";"m3/s";"20,1";"FagK";"GODK"
"SUSÅ";"57000050";"SUSÅ, NÆSBY BRO";"19430204";"667753";"6141009";"Vandføring";"m3/s";"19";"FagK";"GODK"
"SUSÅ";"57000050";"SUSÅ, NÆSBY BRO";"19430205";"667753";"6141009";"Vandføring";"m3/s";"18,5";"FagK";"GODK"
"SUSÅ";"57000050";"SUSÅ, NÆSBY BRO";"19430206";"667753";"6141009";"Vandføring";"m3/s";"18,6";"FagK";"GODK"
"SUSÅ";"57000050";"SUSÅ, NÆSBY BRO";"19430207";"667753";"6141009";"Vandføring";"m3/s";"18,799999";"FagK";"GODK"
"SUSÅ";"57000050";"SUSÅ, NÆSBY BRO";"19430208";"667753";"6141009";"Vandføring";"m3/s";"18,5";"FagK";"GODK"
